idx,premise,orig,para,sim_score,label_true,label_vm_orig,label_vm_para,is_adversarial
10592,"A small baby, possibly a newborn is being bathed by a person in blue scrubs wearing protective gloves.",The person bathing the small baby is the mother.,One of the people bathes a small baby,0.6676875,1,1,0,0
10578,"A small baby, possibly a newborn is being bathed by a person in blue scrubs wearing protective gloves.",The person bathing the small baby is the mother.,The person is taking care of the baby.,0.4903113,1,1,0,0
10581,"A small baby, possibly a newborn is being bathed by a person in blue scrubs wearing protective gloves.",The person bathing the small baby is the mother.,The person is bathing a small baby.,0.84767145,1,1,0,0
15652,"A restaurant front line, with a warmer in the front and a person in a red Coca Cola shirt cooking.",The person is cooking a hamburger.,A person is cooking.,0.7699822,1,1,0,0
15694,"A restaurant front line, with a warmer in the front and a person in a red Coca Cola shirt cooking.",The person is cooking a hamburger.,the man cooks,0.63799053,1,1,0,-1
22710,A man is sitting outside wearing blue pants.,The person is inside.,There is a person in this picture.,0.54248285,2,2,0,0
19539,A person in a blue plaid shirt is writing on a chalkboard.,The person is reading a book.,The person is looking at a book.,0.90994805,2,2,1,1
19550,A person in a blue plaid shirt is writing on a chalkboard.,The person is reading a book.,A person is reading,0.8513488,2,2,0,0
19670,A person in a blue plaid shirt is writing on a chalkboard.,The person is writing on the chalk board.,a man writes with chalk,0.75641257,0,0,1,1
19675,A person in a blue plaid shirt is writing on a chalkboard.,The person is writing on the chalk board.,someone wrote a letter with the chalkboard board,0.7520411,0,0,1,0
6067,A brown a dog and a black dog in the edge of the ocean with a wave under them boats are on the water in the background.,The pets are sleeping on the grass.,The animals are outside.,0.7391123,2,2,0,0
1300,Families waiting in line at an amusement park for their turn to ride.,The restaurant is very bad.,The restaurant is not very good.,0.9159054,2,2,1,-2
13857,Three women in dress suits walk by a building.,The suits are gray.,Men's clothing is grey,0.44564188,1,1,2,1
13868,Three women in dress suits walk by a building.,The suits are gray.,People wearing these grey clothes,0.48392242,1,1,2,1
20175,A man with a white towel wrapped around the lower part of his face and neck.,The towel is pink and blue striped,The towel has stripes.,0.78539956,2,2,1,1
9242,Two men are cooking food together on the corner of the street.,The two men are cooking food for the block party.,There are two men cooking food,0.747555,1,1,0,0
9258,Two men are cooking food together on the corner of the street.,The two men are cooking food for the block party.,two guys cook for a party in the kitchen!,0.72070235,1,1,2,1
15950,"Two men are in an electronics workshop, working on computers or equipment.",The two men are electronics enthusiasts.,The men are into electronics.,0.84516674,1,1,0,1
3905,Women and children sitting outside in the shade while a group of younger children sitting inside in the shade.,The woman and kids and sitting down.,The woman is sitting with her kids.,0.8553507,0,0,1,0
13910,Three women in dress suits walk by a building.,The woman are wearing bikinis.,woman is dressed up,0.23952967,2,2,0,0
14711,A young woman is singing into a microphone.,The woman is in a band.,The woman is performing.,0.7847366,1,1,0,0
3941,Women and children sitting outside in the shade while a group of younger children sitting inside in the shade.,The woman is running.,The woman is moving quickly.,0.75682795,2,2,1,1
3939,Women and children sitting outside in the shade while a group of younger children sitting inside in the shade.,The woman is running.,The woman is outside.,0.6045486,2,2,0,0
4498,A woman is writing something on a post-it note which is hanging on a bulletin board with a lot of other post-it notes.,The woman is talking on the phone.,Someone on the phone is talking to someone,0.7764293,2,2,1,1
6774,A young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt.,The young boy is completing a heist.,A boy is robbing a store.,0.44516128,1,1,2,1
14577,kids drawing something on paper,There are kids drawing.,Boys and girls Drawing,0.77477735,0,0,1,0
9781,A man running a marathon talks to his friend.,There is a man running.,Man running. snatch,0.69175065,0,0,2,-1
15191,A man with a beard skateboarding and a boy with a blue and black backpack riding a green bike in the background.,There is a man with a gray beard skateboarding.,A man with a beard is skateboarding.,0.9160574,1,1,0,0
4697,A baby at the end of a slip and slide at a party,There is a party,party,0.6990663,0,0,1,-1
21077,a man is swimming inside of a pool,there is a person drowning.,There is a person in a body of water.,0.6366822,2,2,0,0
21096,a man is swimming inside of a pool,there is a person drowning.,A person is in the water.,0.6413951,2,2,0,0
3233,The middle eastern woman wearing the pink headscarf is walking beside a woman in a purple headscarf.,These two women are friends.,Two women are close to one another.,0.6544995,1,1,0,0
3256,The middle eastern woman wearing the pink headscarf is walking beside a woman in a purple headscarf.,These two women are friends.,the girls were both close to each other,0.4147387,1,1,0,1
20993,Men and women walking down a sidewalk next to a garden.,They are admiring the beautiful flowers in the garden.,The people are in a garden.,0.74157304,1,1,0,0
2881,A man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him.,They are driving cars.,They are driving vehicles.,0.9308646,2,2,0,1
14063,two people are waiting for a train at a station.,They will both get onto the same train together.,We shall travel together by rail,0.47382516,1,1,0,-1
22623,Three children dressed in winter clothes are walking through the woods while pushing cargo along.,Three childre are dressed in summer clothes.,The childre are wearing clothes.,0.7180457,2,2,0,0
20024,A man plays the french horn as his pianist plays the supporting melody on stage.,Three guys are playing the bongos on stage.,The three guys are playing music.,0.7713076,2,2,0,1
20020,A man plays the french horn as his pianist plays the supporting melody on stage.,Three guys are playing the bongos on stage.,Three guys are playing instruments.,0.80410093,2,2,0,1
20036,A man plays the french horn as his pianist plays the supporting melody on stage.,Three guys are playing the bongos on stage.,Some guys are playing instruments.,0.7605301,2,2,0,0
2123,Two doctors perform surgery on patient.,Two doctors are performing surgery on a man.,Two doctors are working on a patient.,0.80869496,1,1,0,0
2139,Two doctors perform surgery on patient.,Two doctors are performing surgery on a man.,The two doctors are performing surgery,0.8882493,1,1,0,0
2115,Two doctors perform surgery on patient.,Two doctors are performing surgery on a man.,The doctors are performing surgery.,0.871204,1,1,0,0
11943,This is the image of two Asian men squatting near a mop-pad.,Two italian girls are squatting.,two italians squatted,0.36255115,2,2,0,1
19303,A boy and a girl in jackets gaze in a clothing store window.,Two kids are flying on a hovercraft.,The kids are on a toy.,0.59600526,2,2,1,0
4885,A view of the back of a woman having a beverage.,woman drinks a beer,Lady with beverage in hand,0.62431914,1,1,0,1
1828,Two women having drinks and smoking cigarettes at the bar.,Women are celebrating at a bar.,A group of women are at a bar.,0.82558763,1,1,0,0
1840,Two women having drinks and smoking cigarettes at the bar.,Women are celebrating at a bar.,The women are at a bar,0.8125538,1,1,0,0
6510,A group of young people with instruments are on stage.,Young people are playing water polo.,Young people are playing a sport together,0.6174595,2,2,1,1
